12-64,11-11
8-27,28-95
90-96,19-89
13-97,98-99
9-22,23-23
77-82,83-91
8-53,2-7
30-38,29-29
2-99,1-1
4-7,8-28
93-96,5-92
1-1,3-47
41-51,30-33
72-88,71-71
15-94,12-13
24-84,23-23
16-18,21-96
15-82,13-13
38-55,56-56
1-2,4-48
21-23,25-71
11-95,10-10
14-63,64-64
1-81,82-82
64-94,63-63
13-96,12-12
21-97,20-20
6-96,4-4
32-89,90-90
19-34,18-18
91-99,9-90
81-81,82-83
9-40,41-43
9-10,16-18
4-19,2-2
30-30,31-82
84-96,31-83
76-79,75-75
90-94,33-89
19-19,20-81
99-99,1-97
1-1,2-99
24-28,7-23
3-69,2-2
43-43,44-86
13-57,58-96
21-81,10-19
32-49,68-74
22-98,16-21
1-1,3-17
8-57,7-7
43-49,42-42
19-95,5-12
18-83,84-98
1-4,5-97
8-8,4-7
17-89,16-16
92-97,20-91
40-65,39-39
47-47,48-83
19-27,28-93
33-78,32-32
48-89,34-47
3-16,17-29
17-79,1-2
8-16,17-54
1-18,23-62
31-31,32-56
46-46,47-78
16-68,73-89
27-97,98-99
50-57,58-91
8-42,7-7
62-97,61-61
82-91,51-81
58-58,59-99
47-78,14-46
8-12,17-66
8-46,47-47
28-63,1-18
29-39,49-78
11-92,7-7
30-84,29-29
53-82,83-87
3-4,10-19
27-56,26-26
2-47,48-51
56-60,55-55
7-8,9-92
21-99,1-2
